run_group,scenario,scenario_label,parameter,parameter_value,replicate,seed,run_tag,run_dir,master_csv,duration_sec,status,error
scr_0613_0539,baseline,Baseline CE,barrier_sensitivity_scale,1.25,0,24680,Rp1250_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1250_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1250_BL_r0_baseline\MASTER_metrics.csv,109.35734650000813,ok,
scr_0613_0539,baseline,Baseline CE,barrier_sensitivity_scale,1.5,0,24680,Rp1500_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1500_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1500_BL_r0_baseline\MASTER_metrics.csv,108.7593311999808,ok,
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,0.0,0,24680,Hz_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hz_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hz_BL_r0_baseline\MASTER_metrics.csv,109.06311029999051,ok,
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,0.5,0,24680,Hp500_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp500_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp500_BL_r0_baseline\MASTER_metrics.csv,109.26830830000108,ok,
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,1.0,0,24680,Hp1000_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp1000_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp1000_BL_r0_baseline\MASTER_metrics.csv,114.27014750000671,ok,
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,1.5,0,24680,Hp1500_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp1500_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp1500_BL_r0_baseline\MASTER_metrics.csv,112.44574240001384,ok,
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,2.0,0,24680,Hp2000_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp2000_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp2000_BL_r0_baseline\MASTER_metrics.csv,109.66894580001826,ok,
scr_0613_0539,baseline,Baseline CE,observability_prob,0.0,0,24680,Oz_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Oz_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Oz_BL_r0_baseline\MASTER_metrics.csv,111.68143009999767,ok,
scr_0613_0539,baseline,Baseline CE,observability_prob,0.5,0,24680,Op500_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Op500_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Op500_BL_r0_baseline\MASTER_metrics.csv,111.81907540000975,ok,
scr_0613_0539,baseline,Baseline CE,observability_prob,1.0,0,24680,Op1000_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Op1000_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Op1000_BL_r0_baseline\MASTER_metrics.csv,111.89819619999616,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,full_model,,0,124680,Fbase_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Fbase_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Fbase_TG_r0_ce_strong\MASTER_metrics.csv,123.45337480001035,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,0.005,0,124680,Bp5_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bp5_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bp5_TG_r0_ce_strong\MASTER_metrics.csv,118.20867459999863,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,0.0,0,124680,Bz_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bz_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bz_TG_r0_ce_strong\MASTER_metrics.csv,118.08670879999408,ok,
