run_group,experiment,scenario,scenario_label,replicate,seed,beta_cei,observability_prob,run_tag,run_dir,master_csv,k1_spatial_npz,duration_sec,status,error
r20260612_134238,main,ce_light,Low-intensity CE,5,12350,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_light\K1_spatial_ce_intensity.npz,314.163887,ok,
r20260612_134238,main,baseline,Status-quo CE,5,12350,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_baseline\K1_spatial_ce_intensity.npz,264.000213,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,5,12350,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_strong\K1_spatial_ce_intensity.npz,302.809336,ok,
r20260612_134238,main,ce_off,Linear reference,6,12351,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_off\K1_spatial_ce_intensity.npz,108.857649,ok,
r20260612_134238,main,ce_light,Low-intensity CE,6,12351,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_light\K1_spatial_ce_intensity.npz,327.272973,ok,
r20260612_134238,main,baseline,Status-quo CE,6,12351,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_baseline\K1_spatial_ce_intensity.npz,346.891619,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,6,12351,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r006_m_ce_strong\K1_spatial_ce_intensity.npz,394.288696,ok,
r20260612_134238,main,ce_off,Linear reference,7,12352,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_off\K1_spatial_ce_intensity.npz,147.665193,ok,
r20260612_134238,main,ce_light,Low-intensity CE,7,12352,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_light\K1_spatial_ce_intensity.npz,505.717600,ok,
r20260612_134238,main,baseline,Status-quo CE,7,12352,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_baseline\K1_spatial_ce_intensity.npz,608.292612,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,7,12352,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r007_m_ce_strong\K1_spatial_ce_intensity.npz,537.661932,ok,
r20260612_134238,main,ce_off,Linear reference,8,12353,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_off\K1_spatial_ce_intensity.npz,30.562943,ok,
r20260612_134238,main,ce_light,Low-intensity CE,8,12353,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_light\K1_spatial_ce_intensity.npz,204.879720,ok,
r20260612_134238,main,baseline,Status-quo CE,8,12353,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_baseline\K1_spatial_ce_intensity.npz,329.660069,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,8,12353,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r008_m_ce_strong\K1_spatial_ce_intensity.npz,353.427857,ok,
r20260612_134238,main,ce_off,Linear reference,9,12354,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_off\K1_spatial_ce_intensity.npz,81.689596,ok,
r20260612_134238,main,ce_light,Low-intensity CE,9,12354,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_light\K1_spatial_ce_intensity.npz,263.987731,ok,
r20260612_134238,main,baseline,Status-quo CE,9,12354,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_baseline\K1_spatial_ce_intensity.npz,287.661670,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,9,12354,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r009_m_ce_strong\K1_spatial_ce_intensity.npz,335.959129,ok,
r20260612_134238,main,ce_off,Linear reference,10,12355,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_off\K1_spatial_ce_intensity.npz,86.014284,ok,
r20260612_134238,main,ce_light,Low-intensity CE,10,12355,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_light\K1_spatial_ce_intensity.npz,184.692538,ok,
r20260612_134238,main,baseline,Status-quo CE,10,12355,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_baseline\K1_spatial_ce_intensity.npz,109.299124,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,10,12355,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r010_m_ce_strong\K1_spatial_ce_intensity.npz,130.413907,ok,
