run_group,stage,experiment,scenario,replicate,seed,beta_cei,observability_prob,duration_sec,status
r20260612_134238,simulation,main,ce_light,56,12401,-0.015,0.5,109.037396,ok
r20260612_134238,simulation,main,baseline,56,12401,-0.015,0.5,116.108060,ok
r20260612_134238,simulation,main,ce_strong,56,12401,-0.015,0.5,128.648732,ok
r20260612_134238,simulation,main,ce_off,57,12402,-0.015,0.5,34.668050,ok
r20260612_134238,simulation,main,ce_light,57,12402,-0.015,0.5,99.742861,ok
r20260612_134238,simulation,main,baseline,57,12402,-0.015,0.5,118.628004,ok
r20260612_134238,simulation,main,ce_strong,57,12402,-0.015,0.5,130.833016,ok
r20260612_134238,simulation,main,ce_off,58,12403,-0.015,0.5,32.994891,ok
r20260612_134238,simulation,main,ce_light,58,12403,-0.015,0.5,99.830794,ok
r20260612_134238,simulation,main,baseline,58,12403,-0.015,0.5,125.922366,ok
r20260612_134238,simulation,main,ce_strong,58,12403,-0.015,0.5,122.865059,ok
r20260612_134238,simulation,main,ce_off,59,12404,-0.015,0.5,31.714931,ok
r20260612_134238,simulation,main,ce_light,59,12404,-0.015,0.5,109.899975,ok
r20260612_134238,simulation,main,baseline,59,12404,-0.015,0.5,115.643950,ok
r20260612_134238,simulation,main,ce_strong,59,12404,-0.015,0.5,132.463797,ok
r20260612_134238,simulation,main,ce_off,60,12405,-0.015,0.5,33.621618,ok
r20260612_134238,simulation,main,ce_light,60,12405,-0.015,0.5,99.971761,ok
r20260612_134238,simulation,main,baseline,60,12405,-0.015,0.5,121.492731,ok
r20260612_134238,simulation,main,ce_strong,60,12405,-0.015,0.5,130.193943,ok
r20260612_134238,simulation,main,ce_off,61,12406,-0.015,0.5,32.532312,ok
r20260612_134238,simulation,main,ce_light,61,12406,-0.015,0.5,106.657287,ok
r20260612_134238,simulation,main,baseline,61,12406,-0.015,0.5,120.678767,ok
r20260612_134238,simulation,main,ce_strong,61,12406,-0.015,0.5,124.935714,ok
r20260612_134238,simulation,main,ce_off,62,12407,-0.015,0.5,34.629198,ok
r20260612_134238,simulation,main,ce_light,62,12407,-0.015,0.5,105.205983,ok
r20260612_134238,simulation,main,baseline,62,12407,-0.015,0.5,115.653458,ok
r20260612_134238,simulation,main,ce_strong,62,12407,-0.015,0.5,133.797958,ok
r20260612_134238,simulation,main,ce_off,63,12408,-0.015,0.5,30.781811,ok
r20260612_134238,simulation,main,ce_light,63,12408,-0.015,0.5,99.759100,ok
r20260612_134238,simulation,main,baseline,63,12408,-0.015,0.5,129.110758,ok
r20260612_134238,simulation,main,ce_strong,63,12408,-0.015,0.5,123.088804,ok
r20260612_134238,simulation,main,ce_off,64,12409,-0.015,0.5,30.572507,ok
r20260612_134238,simulation,main,ce_light,64,12409,-0.015,0.5,103.766264,ok
r20260612_134238,simulation,main,baseline,64,12409,-0.015,0.5,110.912792,ok
r20260612_134238,simulation,main,ce_strong,64,12409,-0.015,0.5,120.324544,ok
r20260612_134238,simulation,main,ce_off,65,12410,-0.015,0.5,30.180678,ok
r20260612_134238,simulation,main,ce_light,65,12410,-0.015,0.5,96.621502,ok
r20260612_134238,simulation,main,baseline,65,12410,-0.015,0.5,111.118941,ok
r20260612_134238,simulation,main,ce_strong,65,12410,-0.015,0.5,119.152403,ok
r20260612_134238,simulation,main,ce_off,66,12411,-0.015,0.5,30.344535,ok
r20260612_134238,simulation,main,ce_light,66,12411,-0.015,0.5,96.712114,ok
r20260612_134238,simulation,main,baseline,66,12411,-0.015,0.5,111.960869,ok
r20260612_134238,simulation,main,ce_strong,66,12411,-0.015,0.5,123.429506,ok
r20260612_134238,simulation,main,ce_off,67,12412,-0.015,0.5,30.480170,ok
r20260612_134238,simulation,main,ce_light,67,12412,-0.015,0.5,102.368070,ok
r20260612_134238,simulation,main,baseline,67,12412,-0.015,0.5,112.111974,ok
r20260612_134238,simulation,main,ce_strong,67,12412,-0.015,0.5,119.172042,ok
r20260612_134238,simulation,main,ce_off,68,12413,-0.015,0.5,30.601104,ok
r20260612_134238,simulation,main,ce_light,68,12413,-0.015,0.5,98.371966,ok
r20260612_134238,simulation,main,baseline,68,12413,-0.015,0.5,113.263471,ok
r20260612_134238,simulation,main,ce_strong,68,12413,-0.015,0.5,119.796123,ok
r20260612_134238,simulation,main,ce_off,69,12414,-0.015,0.5,30.525141,ok
r20260612_134238,simulation,main,ce_light,69,12414,-0.015,0.5,97.064305,ok
r20260612_134238,simulation,main,baseline,69,12414,-0.015,0.5,111.952694,ok
r20260612_134238,simulation,main,ce_strong,69,12414,-0.015,0.5,118.700336,ok
r20260612_134238,simulation,main,ce_off,70,12415,-0.015,0.5,30.450586,ok
r20260612_134238,simulation,main,ce_light,70,12415,-0.015,0.5,96.552862,ok
r20260612_134238,simulation,main,baseline,70,12415,-0.015,0.5,111.476844,ok
r20260612_134238,simulation,main,ce_strong,70,12415,-0.015,0.5,120.229632,ok
r20260612_134238,simulation,main,ce_off,71,12416,-0.015,0.5,30.731233,ok
r20260612_134238,simulation,main,ce_light,71,12416,-0.015,0.5,97.492228,ok
r20260612_134238,simulation,main,baseline,71,12416,-0.015,0.5,111.677596,ok
r20260612_134238,simulation,main,ce_strong,71,12416,-0.015,0.5,120.158200,ok
r20260612_134238,simulation,main,ce_off,72,12417,-0.015,0.5,30.153167,ok
r20260612_134238,simulation,main,ce_light,72,12417,-0.015,0.5,95.663181,ok
r20260612_134238,simulation,main,baseline,72,12417,-0.015,0.5,112.643380,ok
r20260612_134238,simulation,main,ce_strong,72,12417,-0.015,0.5,119.910118,ok
r20260612_134238,simulation,main,ce_off,73,12418,-0.015,0.5,30.359955,ok
r20260612_134238,simulation,main,ce_light,73,12418,-0.015,0.5,97.251131,ok
r20260612_134238,simulation,main,baseline,73,12418,-0.015,0.5,112.547063,ok
r20260612_134238,simulation,main,ce_strong,73,12418,-0.015,0.5,117.928933,ok
r20260612_134238,simulation,main,ce_off,74,12419,-0.015,0.5,30.318340,ok
r20260612_134238,simulation,main,ce_light,74,12419,-0.015,0.5,97.869252,ok
r20260612_134238,simulation,main,baseline,74,12419,-0.015,0.5,111.553256,ok
