run_group,check_rep,scenario,metric,n,mean,sd,ci95_half_width,relative_half_width,passed,criterion
r20260612_134238,10,ce_strong,UNEMPLOYMENT,10,0.090370554683751,2.4251066207832286e-05,1.5030966561241296e-05,0.00016632593009793627,True,rel_hw<=0.05
r20260612_134238,10,ce_strong,D_adv_exposure,10,0.17199542754533004,0.004969149322011384,0.0030799106586433395,0.01790693335630459,True,rel_hw<=0.05
r20260612_134238,10,ce_strong,D_resources,10,0.7734614805411392,0.0026377367633019376,0.0016348861838389346,0.0021137267012897843,True,rel_hw<=0.05
r20260612_134238,10,ce_strong,MEAN_RESOURCES,10,5.259350418516144,0.08982727120138301,0.0556755195068279,0.010586006840467574,True,rel_hw<=0.05
r20260612_134238,15,ce_off,MEAN_LOCAL_CE_ACTIVATION,15,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,15,ce_off,CEI_SIM,15,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,15,ce_off,UNEMPLOYMENT,15,0.10000000000000005,2.872975021810196e-17,1.4539259633693285e-17,1.4539259633693278e-16,True,rel_hw<=0.05
r20260612_134238,15,ce_off,D_adv_exposure,15,0.030063607809103363,0.000368068753216555,0.00018626848912502722,0.006195812901358582,True,rel_hw<=0.05
r20260612_134238,15,ce_off,D_resources,15,0.027150431327188574,0.011785474262369434,0.005964272884587559,0.21967506934650086,False,rel_hw<=0.05
r20260612_134238,15,ce_off,MEAN_RESOURCES,15,1.028081369068448,0.012346127062262518,0.006248002348300982,0.006077342257415229,True,rel_hw<=0.05
r20260612_134238,15,ce_light,MEAN_LOCAL_CE_ACTIVATION,15,0.025924665637201295,0.013037762239719511,0.006598018040762755,0.2545073534639827,False,rel_hw<=0.05
r20260612_134238,15,ce_light,CEI_SIM,15,0.5627461736771625,0.003132974274031643,0.0015855037391563213,0.002817440283593819,True,rel_hw<=0.05
r20260612_134238,15,ce_light,UNEMPLOYMENT,15,0.09155880739484255,4.6994614110479365e-05,2.3782556087347204e-05,0.00025975170236530254,True,rel_hw<=0.05
r20260612_134238,15,ce_light,D_adv_exposure,15,0.17683439288302388,0.008681857276121946,0.004393625982890478,0.02484599240712674,True,rel_hw<=0.05
r20260612_134238,15,ce_light,D_resources,15,0.1494446530699059,0.01549688821127169,0.00784250748814499,0.05247767201464539,False,rel_hw<=0.05
r20260612_134238,15,ce_light,MEAN_RESOURCES,15,1.176777962681963,0.021743458831544122,0.011003708381952882,0.00935070908098468,True,rel_hw<=0.05
r20260612_134238,15,baseline,MEAN_LOCAL_CE_ACTIVATION,15,0.018985344166656395,0.0008496966205669708,0.0004300058191425211,0.02264935601735007,True,rel_hw<=0.05
r20260612_134238,15,baseline,CEI_SIM,15,0.618485794674141,0.0016566722393629497,0.0008383918284417752,0.0013555555126104314,True,rel_hw<=0.05
r20260612_134238,15,baseline,UNEMPLOYMENT,15,0.09072271307988791,2.4850083590439943e-05,1.2575877426624452e-05,0.00013861884196023197,True,rel_hw<=0.05
r20260612_134238,15,baseline,D_adv_exposure,15,0.17003460633685533,0.0002915075060088283,0.00014752315223270899,0.0008676066326195449,True,rel_hw<=0.05
r20260612_134238,15,baseline,D_resources,15,0.37707433609549945,0.01635833449106958,0.00827845945526544,0.021954449462105004,True,rel_hw<=0.05
r20260612_134238,15,baseline,MEAN_RESOURCES,15,1.614385679125711,0.04259693023318799,0.02155702098197898,0.013353079911891582,True,rel_hw<=0.05
r20260612_134238,15,ce_strong,MEAN_LOCAL_CE_ACTIVATION,15,0.01927458957124685,0.003036966524844201,0.001536917114431571,0.07973799435523594,False,rel_hw<=0.05
r20260612_134238,15,ce_strong,CEI_SIM,15,0.6417570870683857,0.0014754166176382804,0.0007466638278738828,0.0011634679895546182,True,rel_hw<=0.05
r20260612_134238,15,ce_strong,UNEMPLOYMENT,15,0.0903736436939742,2.213124926457482e-05,1.1199957418108553e-05,0.00012392946616199483,True,rel_hw<=0.05
r20260612_134238,15,ce_strong,D_adv_exposure,15,0.17349608076513123,0.004976697807613454,0.002518556583124532,0.014516504188552855,True,rel_hw<=0.05
r20260612_134238,15,ce_strong,D_resources,15,0.7727962785821095,0.0028931808857798227,0.0014641515413902743,0.0018946151553377445,True,rel_hw<=0.05
r20260612_134238,15,ce_strong,MEAN_RESOURCES,15,5.23404333742835,0.10416524498147656,0.052714887184738254,0.010071541977456903,True,rel_hw<=0.05
r20260612_134238,20,ce_off,MEAN_LOCAL_CE_ACTIVATION,20,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,20,ce_off,CEI_SIM,20,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,20,ce_off,UNEMPLOYMENT,20,0.10000000000000002,0.0,0.0,0.0,True,rel_hw<=0.05
r20260612_134238,20,ce_off,D_adv_exposure,20,0.030039924298418376,0.00042750366666655565,0.00018736174282217853,0.006237091044601709,True,rel_hw<=0.05
r20260612_134238,20,ce_off,D_resources,20,0.028566538387206568,0.01043220484058392,0.004572115359034608,0.16005143140067035,False,rel_hw<=0.05
r20260612_134238,20,ce_off,MEAN_RESOURCES,20,1.029549914985707,0.010922524679827473,0.004787007503322617,0.004649611867909361,True,rel_hw<=0.05
r20260612_134238,20,ce_light,MEAN_LOCAL_CE_ACTIVATION,20,0.024228157508444804,0.011860918483496066,0.00519827672091746,0.2145551810576427,False,rel_hw<=0.05
r20260612_134238,20,ce_light,CEI_SIM,20,0.5625391524182153,0.002925008159244567,0.0012819413474472268,0.00227884822227303,True,rel_hw<=0.05
r20260612_134238,20,ce_light,UNEMPLOYMENT,20,0.0915619127137268,4.387512238867207e-05,1.9229120211709963e-05,0.00021001221623483153,True,rel_hw<=0.05
r20260612_134238,20,ce_light,D_adv_exposure,20,0.17872583516075985,0.008972527037256225,0.003932383355510902,0.02200232189136961,True,rel_hw<=0.05
r20260612_134238,20,ce_light,D_resources,20,0.15018790705736107,0.015458939061809101,0.006775178766037467,0.04511134683733113,True,rel_hw<=0.05
r20260612_134238,20,ce_light,MEAN_RESOURCES,20,1.177805733162797,0.02176844040035612,0.009540439649872409,0.008100181024126263,True,rel_hw<=0.05
r20260612_134238,20,baseline,MEAN_LOCAL_CE_ACTIVATION,20,0.018889031386145935,0.0007786137360565638,0.0003412425154393609,0.01806564394242277,True,rel_hw<=0.05
r20260612_134238,20,baseline,CEI_SIM,20,0.6188492497059481,0.001817094409328894,0.0007963767376756699,0.0012868670973651105,True,rel_hw<=0.05
r20260612_134238,20,baseline,UNEMPLOYMENT,20,0.09071726125441079,2.7256416139930676e-05,1.1945651065133851e-05,0.00013168002318360376,True,rel_hw<=0.05
r20260612_134238,20,baseline,D_adv_exposure,20,0.17012353437009342,0.0003898721949906704,0.0001708690231850936,0.0010043820440114911,True,rel_hw<=0.05
r20260612_134238,20,baseline,D_resources,20,0.3796576425195185,0.01700802988475101,0.007454097753187628,0.019633735551114074,True,rel_hw<=0.05
r20260612_134238,20,baseline,MEAN_RESOURCES,20,1.6213987384615822,0.04467528915944674,0.01957980876109654,0.012075875166693593,True,rel_hw<=0.05
r20260612_134238,20,ce_strong,MEAN_LOCAL_CE_ACTIVATION,20,0.01990407835585756,0.003838924675801325,0.0016824829209762485,0.08452955675192625,False,rel_hw<=0.05
r20260612_134238,20,ce_strong,CEI_SIM,20,0.6419093965042159,0.001538950443399617,0.0006744747698672173,0.0010507320402853575,True,rel_hw<=0.05
r20260612_134238,20,ce_strong,UNEMPLOYMENT,20,0.09037135905243678,2.3084256650995467e-05,1.011712154800879e-05,0.00011195053005829496,True,rel_hw<=0.05
r20260612_134238,20,ce_strong,D_adv_exposure,20,0.17368306489677002,0.004505241708475351,0.0019745092361827623,0.011368461498283258,True,rel_hw<=0.05
r20260612_134238,20,ce_strong,D_resources,20,0.7729748273351522,0.0026077852475929805,0.0011429122765304485,0.0014785892581659662,True,rel_hw<=0.05
