metric,scenario,scenario_label,n_runs,last_window,last_mean,last_sd,last_ci95_low,last_ci95_high,last_median,last_min,last_max,delta_convention,delta_mean,delta_sd,delta_ci95_low,delta_ci95_high,delta_median,delta_min,delta_max
D_adv_exposure,ce_light,Light CE,100,24,0.17737124907738316,0.008462720086424978,0.17571255594044388,0.17902994221432245,0.17518899767788934,0.1627873116641756,0.1949219494173,final_minus_initial,0.04639299476313167,0.008894219747118572,0.04464972769269643,0.04813626183356691,0.04654091191862565,0.028658600749867202,0.066832288467111
D_adv_exposure,baseline,Baseline CE,100,24,0.17011971537370024,0.0003443183665337829,0.17005222897385963,0.17018720177354085,0.17009709311089188,0.16917251992738458,0.1709918045004933,final_minus_initial,0.03174246931271452,0.0005332106681034259,0.031637960021766255,0.03184697860366279,0.03172505505666595,0.03073541485330039,0.033278817444062
D_adv_exposure,ce_strong,Targeted CE expansion,100,24,0.17451728730543503,0.0044981035350380415,0.17363565901256758,0.17539891559830248,0.17356068908225372,0.16290624508596416,0.18751014286820647,final_minus_initial,0.03246965103996785,0.006832396919279794,0.03113050124378901,0.033808800836146694,0.030531388949989538,0.018486592331364987,0.053003175346808706
D_adv_cell,ce_off,Linear reference,100,24,0.027136434811012595,0.0,0.027136434811012595,0.027136434811012595,0.027136434811012595,0.027136434811012595,0.027136434811012595,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_adv_cell,ce_light,Light CE,100,24,0.16697705972407026,0.0015961426072023943,0.1666642157730586,0.16728990367508192,0.1668497161636452,0.1623142589409666,0.1704167913385537,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_adv_cell,baseline,Baseline CE,100,24,0.17154415530141726,5.579080615598709e-17,0.17154415530141726,0.17154415530141726,0.1715441553014172,0.1715441553014172,0.1715441553014172,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_adv_cell,ce_strong,Targeted CE expansion,100,24,0.17589804424058492,0.0021289537824784647,0.17548076929921913,0.1763153191819507,0.1755486087949696,0.1715547980559595,0.183064830062861,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAN_ADV_EXPOSURE,ce_off,Linear reference,100,24,0.9258162288211434,0.0004478551689555509,0.9257284492080282,0.9259040084342587,0.9258861397585978,0.9246437948771088,0.9271619575354922,final_minus_initial,0.02214997281969696,0.0004791025286260173,0.02205606872408626,0.02224387691530766,0.022156726603619392,0.02087036811487475,0.02346253171761259
MEAN_ADV_EXPOSURE,ce_light,Light CE,100,24,0.6049175385392277,0.027155854931534308,0.599594990972647,0.6102400861058084,0.6067068029039995,0.5435798816255307,0.6723858672076771,final_minus_initial,0.14436907231654758,0.025659114434993104,0.13933988588728893,0.14939825874580623,0.1438221653953797,0.08137238621661774,0.1982500739979503
MEAN_ADV_EXPOSURE,baseline,Baseline CE,100,24,0.6157971307406138,0.0009545224797047379,0.6156100443345917,0.615984217146636,0.6158419831466853,0.6130944623352904,0.6176182143659309,final_minus_initial,0.1530972691605945,0.0010692802928257267,0.15288769022320065,0.15330684809798834,0.1531541980477836,0.14970101695525595,0.15581654035883197
