run_group,scenario,scenario_label,parameter,parameter_label,parameter_description,metric,metric_label,baseline_last_mean_full_model,min_last_mean,max_last_mean,range_last_mean,relative_sensitivity_score,n_levels
scr_0613_0539,baseline,Baseline CE,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,CEI_SIM,K2 flow-based citywide CE index,0.6191046847505338,0.6029084946512254,0.6230832108753274,0.02017471622410194,0.0325869221933676,5
scr_0613_0539,baseline,Baseline CE,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,D_adv_exposure,K5 spatial-advantage exposure inequality,0.17083829604465697,0.1342769202890817,0.18254032102398124,0.04826340073489954,0.28250925916384856,5
scr_0613_0539,baseline,Baseline CE,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,D_resources,K6 economic-resource inequality,0.3881065329196303,0.3789462034359841,0.4161845892686468,0.0372383858326627,0.09594887634737445,5
scr_0613_0539,baseline,Baseline CE,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.018009254469126015,0.013612667295403119,0.023189017246669847,0.009576349951266728,0.5317460217988382,5
scr_0613_0539,baseline,Baseline CE,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,TRADES_COUNT_M,K3 CE flows,3887.5833333333335,3740.75,3936.3333333333335,195.58333333333348,0.0503097468435703,5
scr_0613_0539,baseline,Baseline CE,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,UNEMPLOYMENT,K4 unemployment,0.09071342972874197,0.09065375183687004,0.09095637258023159,0.0003026207433615563,0.0033360081404756404,5
scr_0613_0539,baseline,Baseline CE,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,CEI_SIM,K2 flow-based citywide CE index,0.6191046847505338,0.6184782928865047,0.6192581127114299,0.0007798198249252541,0.0012595928328015917,3
scr_0613_0539,baseline,Baseline CE,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,D_adv_exposure,K5 spatial-advantage exposure inequality,0.17083829604465697,0.16944686188070227,0.17083829604465697,0.0013914341639547079,0.00814474381930293,3
scr_0613_0539,baseline,Baseline CE,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,D_resources,K6 economic-resource inequality,0.3881065329196303,0.3881065329196303,0.4162148630571507,0.0281083301375204,0.07242426416696482,3
scr_0613_0539,baseline,Baseline CE,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.018009254469126015,0.018009254469126015,0.01859386672986124,0.0005846122607352268,0.03246176732499858,3
scr_0613_0539,baseline,Baseline CE,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,TRADES_COUNT_M,K3 CE flows,3887.5833333333335,3884.75,3890.3333333333335,5.583333333333485,0.0014361964373750741,3
scr_0613_0539,baseline,Baseline CE,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,UNEMPLOYMENT,K4 unemployment,0.09071342972874197,0.09071112830932852,0.09072282560670238,1.1697297373852722e-05,0.00012894780056142788,3
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,Barrier scale,Scale multiplier for cost/time/skill/stigma barrier sensitivity,CEI_SIM,K2 flow-based citywide CE index,0.6414573616780198,0.6408530513172873,0.6428733041028362,0.0020202527855488484,0.0031494732200352286,5
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,Barrier scale,Scale multiplier for cost/time/skill/stigma barrier sensitivity,D_adv_exposure,K5 spatial-advantage exposure inequality,0.1707393907305407,0.17027040208789546,0.17101520042569976,0.0007447983378043033,0.00436219392757201,5
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,Barrier scale,Scale multiplier for cost/time/skill/stigma barrier sensitivity,D_resources,K6 economic-resource inequality,0.7731252322662249,0.764708240438746,0.7763935944550803,0.011685354016334304,0.015114438791458337,5
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,Barrier scale,Scale multiplier for cost/time/skill/stigma barrier sensitivity,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.019210167959022195,0.01865603837619154,0.019281039040181903,0.0006250006639903632,0.03253488635751052,5
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,Barrier scale,Scale multiplier for cost/time/skill/stigma barrier sensitivity,TRADES_COUNT_M,K3 CE flows,3999.6666666666665,3999.5833333333335,4005.7916666666665,6.20833333333303,0.001552212684389902,5
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,Barrier scale,Scale multiplier for cost/time/skill/stigma barrier sensitivity,UNEMPLOYMENT,K4 unemployment,0.09037813957482965,0.09035690043845741,0.09038720423024066,3.0303791783245493e-05,0.00033530001381423764,5
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,$\beta_{\mathrm{CEI}}$,Reduced-form CE--unemployment coupling,CEI_SIM,K2 flow-based citywide CE index,0.6414573616780198,0.6409176952887622,0.6425235130187036,0.0016058177299413945,0.0025033896613755706,5
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,$\beta_{\mathrm{CEI}}$,Reduced-form CE--unemployment coupling,D_adv_exposure,K5 spatial-advantage exposure inequality,0.1707393907305407,0.17035465542979544,0.1707393907305407,0.0003847353007452592,0.002253348198360955,5
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,$\beta_{\mathrm{CEI}}$,Reduced-form CE--unemployment coupling,D_resources,K6 economic-resource inequality,0.7731252322662249,0.7678955490419278,0.7735011261483103,0.005605577106382542,0.007250542169863789,5
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,$\beta_{\mathrm{CEI}}$,Reduced-form CE--unemployment coupling,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.019210167959022195,0.018206150824709055,0.019969877134707537,0.001763726309998482,0.09181211855870404,5
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,$\beta_{\mathrm{CEI}}$,Reduced-form CE--unemployment coupling,TRADES_COUNT_M,K3 CE flows,3999.6666666666665,3999.6666666666665,4004.9583333333335,5.29166666666697,0.0013230269189096542,5
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,$\beta_{\mathrm{CEI}}$,Reduced-form CE--unemployment coupling,UNEMPLOYMENT,K4 unemployment,0.09037813957482965,0.08073225313213633,0.10320458847644377,0.02247233534430744,0.2486479053604915,5
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,Opportunity scale,Scale multiplier for scenario-specific ETA_OPP,CEI_SIM,K2 flow-based citywide CE index,0.6414573616780198,0.6406862578456353,0.6426929023015266,0.002006644455891382,0.003128258513572662,5
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,Opportunity scale,Scale multiplier for scenario-specific ETA_OPP,D_adv_exposure,K5 spatial-advantage exposure inequality,0.1707393907305407,0.17024233019654256,0.1712344910971401,0.000992160900597533,0.005810966587976089,5
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,Opportunity scale,Scale multiplier for scenario-specific ETA_OPP,D_resources,K6 economic-resource inequality,0.7731252322662249,0.772988292648018,0.7754146382236741,0.0024263455756560193,0.003138360347398608,5
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,Opportunity scale,Scale multiplier for scenario-specific ETA_OPP,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.019210167959022195,0.018228266661205517,0.019210167959022195,0.0009819012978166779,0.05111362111968936,5
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,Opportunity scale,Scale multiplier for scenario-specific ETA_OPP,TRADES_COUNT_M,K3 CE flows,3999.6666666666665,3992.5416666666665,4013.5,20.958333333333485,0.005240020001665534,5
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,Opportunity scale,Scale multiplier for scenario-specific ETA_OPP,UNEMPLOYMENT,K4 unemployment,0.09037813957482965,0.09035960646547707,0.09038970613231545,3.0099666838381833e-05,0.0003330414483739069,5
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,CEI_SIM,K2 flow-based citywide CE index,0.6414573616780198,0.6347925263999501,0.6958026267162903,0.06101010031634024,0.09511170011616864,6
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,D_adv_exposure,K5 spatial-advantage exposure inequality,0.1707393907305407,0.1703088672013786,0.17122697222905559,0.0009181050276769742,0.005377230282780431,6
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,D_resources,K6 economic-resource inequality,0.7731252322662249,0.0328090135157832,0.7344415834294873,0.701632569913704,0.9075277066685749,6
